MMS ID - 001,034$d,034$e,034$f,034$g,Cartographer - 110,Title - 245$a,Coordinates - 255$c,Publisher details - 260,Description - 300 ,Aperture card reproduction note - 533,Photocopy or reprint note - 534
9921326033607636,,,,,Victoria.Department of Crown Lands and Survey.,"Parish of Tarwin South, County of Buln Buln",,1978.,1 map.,Aperture card. [1985-2005?]. 1 aperture card ; 9 x 19 cm.,
9921326043607636,,,,,Victoria.Department of Crown Lands and Survey.,"Parish of Tarwin South, County of Buln Buln, Schedule of allotments",,1978.,1 map.,Aperture card. [1985-2005?]. 1 aperture card ; 9 x 19 cm.,
9921326053607636,,,,,Victoria.Department of Crown Lands and Survey.,"Parish of Tarwin, County of Buln Buln",,1984.,1 map.,Aperture card. [1985-2005?]. 1 aperture card ; 9 x 19 cm.,
9921326063607636,,,,,Victoria.Department of Crown Lands and Survey.,"Parish of Tatonga, County of Benambra",,1977.,1 map.,Aperture card. [1985-2005?]. 1 aperture card ; 9 x 19 cm.,
9921326073607636,,,,,Victoria.Department of Crown Lands and Survey.,"Parish of Tatonga, County of Benambra, Schedule of allotments",,1976.,1 map.,Aperture card. [1985-2005?]. 1 aperture card ; 9 x 19 cm.,
9921326083607636,,,,,Victoria.Department of Crown Lands and Survey.,"Parish of Tatyoon, County of Ripon",,1874.,1 map.,Aperture card. [1985-2005?]. 1 aperture card ; 9 x 19 cm.,
9921326093607636,,,,,Victoria.Department of Crown Lands and Survey.,"Parish of Tatyoon, County of Ripon",,1874.,1 map.,Aperture card. [1985-2005?]. 1 aperture card ; 9 x 19 cm.,
9921326103607636,,,,,Victoria.Department of Crown Lands and Survey.,"Parish of Thornton, Sheet 2",,1958.,1 map.,Aperture card. [1985-2005?]. 1 aperture card ; 9 x 19 cm.,
9921326113607636,,,,,Victoria.Department of Crown Lands and Survey.,"Parish of Tildesley, County of Tambo",,1965.,1 map.,Aperture card. [1985-2005?]. 1 aperture card ; 9 x 19 cm.,
9921326123607636,,,,,Victoria.Department of Crown Lands and Survey.,"Parish of Timboon, County of Heytesbury",,1979.,1 map.,Aperture card. [1985-2005?]. 1 aperture card ; 9 x 19 cm.,
9921326133607636,,,,,Victoria.Department of Crown Lands and Survey.,"Parish of Timboon, County of Heytesbury, Schedule of allotments",,1979.,1 map.,Aperture card. [1985-2005?]. 1 aperture card ; 9 x 19 cm.,
9921326143607636,,,,,Victoria.Department of Crown Lands and Survey.,"Parish of Tong Bong, County of Buln Buln",,1981.,1 map.,Aperture card. [1985-2005?]. 1 aperture card ; 9 x 19 cm.,
9921326153607636,,,,,Victoria.Department of Crown Lands and Survey.,"Parish of Tong Bong, County Of Buln Buln",,1981.,1 map.,Aperture card. [1985-2005?]. 1 aperture card ; 9 x 19 cm.,
9921326163607636,,,,,Victoria.Department of Crown Lands and Survey.,"Parish of Tong Bong, County of Buln Buln, Schedule of allotments",,1981.,1 map.,Aperture card. [1985-2005?]. 1 aperture card ; 9 x 19 cm.,
9921326173607636,,,,,Victoria.Department of Crown Lands and Survey.,"Parish of Tong Bong, County Of Buln Buln, Schedule of allotments",,1981.,1 map.,Aperture card. [1985-2005?]. 1 aperture card ; 9 x 19 cm.,
9921326183607636,,,,,Victoria.Department of Crown Lands and Survey.,Parish of Toolleen,,1983.,1 map.,Aperture card. [1985-2005?]. 1 aperture card ; 9 x 19 cm.,
9921326193607636,,,,,Victoria.Department of Crown Lands and Survey.,"Parish of Toolleen, County of Rodney",,1983.,1 map.,Aperture card. [1985-2005?]. 1 aperture card ; 9 x 19 cm.,
9920185903607636,E1452800,E1452800,S0374300,S0374300,Victoria.Public Lands Office.,"Plan of the Parish of Gruyere, County of Evelyn",(E 145°2̊8ʹ/S 37°4̊3ʹ).,"Melbourne :Public Lands Office,1859.",1 map ;on sheet 57 x 45 cm.,,
9920186133607636,,,,,Victoria.Public Lands Office,"Country allotments in the parishes of Muckleford and Walmer, County unnamed",,"Melbourne :Public Lands Office,1858.",1 map ;on sheet 38 x 32 cm.,,
9920190433607636,E1481200,E1481200,S0371300,S0371300,Victoria.Department of Crown Lands and Survey.,"Marroo, County of Tambo",(E 148°12'/S 37°13').,"Melbourne :Dept. of Lands and Survey,1914.",1 map ;on sheet 36 x 54 cm.,,
9920190893607636,E1413300,E1413300E,S0342800,S0342800,,"Mallanbool, County of Millewa",(E 141°33'/S 34°28').,"Melbourne :H. J. Green. Govt. Printer,1927.",1 map ;on sheet 63 x 38 cm.,,
9920190923607636,E1494000,E1494000,S03732000,S0373200,Victoria.Department of Crown Lands and Survey.,"Mallacoota, County of Croajingolong",(E 149°4̊0ʹ/S 37°3̊2ʹ).,"Melbourne :H. J. Green, Govt. Printer,1925.",1 map ;on sheet 38 x 65 cm.,,
9920191753607636,E1434400,E1434400,S0370100,S0370100,Victoria.Department of Crown Lands and Survey.,"Maryborough, Parish of Maryborough, County of Talbot",(E 143°44'/S 37°01').,"Melbourne :Dept. of Lands and Survey,1905.",1 map ;on sheet 57 x 69 cm.,,
9920191793607636,E1440400,E1440400,S0365900,S0365900,,"Maldon, County of Talbot",(E 144°04'/S 36°59').,"Melbourne :Dept. of Lands and Survey,1930.",1 map ;on sheet 102 x 77 cm.,,
9920192613607636,E1425000,E1425000,S0373400,S0373400,Victoria.Department of Crown Lands and Survey.,"Parish of Mellier, County of Ripon",(E 142°50'/S 37°34').,"Melbourne :H. J. Mullet, Govt. Printer,1914.",1 map ;77 x 102 cm.,,
9920193693607636,E1465400,E1465400,S0375500,S0375500,Victoria.Department of Crown Lands and Survey.,"Maffra, parishes of Maffra, Bundalaguah and Wa-De-Lock, County of Tanjil",(E 146°54'/S 37°55').,"Melbourne :H. J. Green, Govt. Printer,1903.",1 map :on sheet 77 x 102 cm.,,
9920193893607636,E1423900,E1423900,S0382500,S0382500,Victoria.Department of Crown Lands and Survey.,"Parish of Mepunga, (Lake Gillear Drainage area), County of Heytesbury",(E 142°39'/S 38°25').,"Melbourne :Dept. of Lands and Survey,1909.",1 map ;on sheet 104 x 77 cm.,,
9920196973607636,,,,,Victoria.Department of Crown Lands and Survey,[Map of part of Parish of Melbourne],,"Melbourne :H. J. Green, Govt. Printer,1924.",1 map on 2 sheets;sheets 101 x 76 and 80 x 72 cm.,,
9920196993607636,,,,,Victoria.Department of Crown Lands and Survey,[Map of part of Parish of Melbourne],,"Melbourne :Dept of Lands and Survey,1896.",1 map ;on sheet 76 x 34 cm.,,
9920197033607636,E1440900,E1440900,S0370800,S0370800,Victoria.Department of Crown Lands and Survey.,"Guildford, County of Talbot",(E 144°09'/S 37°08').,"Melbourne :Dept. of Lands and Survey,1933.",1 map ;on sheet 61 x 54 cm.,,
9920197303607636,,,,,Victoria.Office of Lands and Survey,"Special lots, Parish of Guildford, County of Talbot",,"Melbourne:Office of Lands and Survey,1864.",1 map ;on sheet 45 x 32 cm.,,
9920197343607636,,,,,Victoria.Public Lands Office,"Country allotments, Parish of Guildford, County unnamed",,"Melbourne:Public Lands Office,1858.",1 map ;on sheet 31 x 23 cm.,,
9920197383607636,E1440900,E1440900,S0370800,S0370800,Victoria.Department of Crown Lands and Survey.,"Guildford, County of Talbot",(E 144°09'/S 37°08').,"Melbourne :Dept. of Lands and Survey,[1930-40?].",1 map ;on sheet 28 x 25 cm.,,
9920197473607636,,,,,Victoria.Department of Crown Lands and Survey.,"Special allotments, Parish of Guildford, County of Talbot",,"Melbourne:Department of Lands and Survey,1866.",1 map ;on sheet 38 x 28 cm.,,
9920197603607636,E1433900,E1433900,S0383800,S0383800,Victoria.Department of Crown Lands and Survey.,"Olangolah, County of Polwarth",(E 143°39'/S 38°38').,"Melbourne :Dept. of Lands and Survey,[196-?].",1 map ;on sheet 74 x 102 cm.,,
9920197903607636,,,,,Victoria.Department of Crown Lands and Survey.,Building lots on Donkey Gully & Donkey Hill in the Parish of Guilford,,"Melbourne :Department of Lands and Survey,1864.",1 map ;on sheet 32 x 25 cm.,,
9920197913607636,,,,,Victoria.Public Lands Office,Building lots on Donkey Gully & Donkey Hill in the Parish of Guilford,,"Melbourne:Public Lands Office,1857.",3 maps on 1 sheet ;on sheet 56 x 39 cm.,,
9920200293607636,E1433800,E1433800,S0381100,S0381100,Victoria.Department of Crown Lands and Survey.,"Ondit, County of Grenville",(E143°38'/S 38°11').,"Melbourne :Dept. of Lands and Survey,1954.",1 map on 2 sheets ;sheets 69 x 96 cm.,,
9920201743607636,E1482600,E1482600,S0374200,S0374200,Victoria.Department of Crown Lands and Survey.,"Orbost, County of Croajingolong",(E 148°2̊6ʹ/S 37°4̊2ʹ).,"Melbourne :J. J. Gourley, Govt. Printer,1952.",1 map on 2 sheets ;sheets 71 x 96 cm and  86 x 64 cm.,,
9920202413607636,E1462700,E1462700,S0362800,S0362800,Victoria.Division of Survey and Mapping.,"Parish of Oxley, County of Delatite",(E 146°2̊7ʹ/S 36°2̊8ʹ).,"[Melbourne] :Division of Survey and Mapping,c.1982.",1 map on 2 sheets ;51 x 71 cm.,,
9920205403607636,E1425900,E1425900,S0383300,S0383300,Victoria.Department of Crown Lands and Survey.,"Paaratte, County of Heytesbury",(E 142°59'/S 38°33').,"Melbourne :W. H. Houston, Govt. Printer,1957.",1 map on 2 sheets ;sheets 63 x 84 and 71 x 96 cm.,,
9920205423607636,E1425900,E1425900,S0383300,S0383300,Victoria.Division of Survey and Mapping.,"Parish of Paaratte, County of Heytesbury",(E 142°59'/S 38°33').,"[Melbourne] :Division of Survey and Mapping,1979.",1 map on 2 sheets ;sheets 51 x 71 cm.,,
9920205713607636,E1442100,E1442100,S0355300,S0355300,Victoria.Department of Crown Lands and Survey.,"Gunbower, County of Gunbower",(E 144°21'/S 35°53').,"Melbourne :Dept. of Lands and Survey,1967.",1 map on 2 sheets ;on sheets 68 x 102 cm & 71 x 92 cm.,,
9920205873607636,E1442100,E1442100,S0355300,S0355300,Victoria.Department of Crown Lands and Survey.,"Gunbower, County of Gunbower",(E 144°21'/S 35°53').,"Melbourne :Dept. of Lands and Survey,1933.",1 map ;on sheet 60 x 55 cm.,,
9920205993607636,,,,,Victoria.Department of Crown Lands and Survey.,[Map of part of the Parish of Gunbower],,"[Melbourne] :A. J. Mullet, Govt. Printer,1922.",1 map ;on sheet 76 x 106 cm.,,
9920206633607636,E1470600,E1470600,S0362600,S0362600,Victoria.Division of Survey and Mapping.,"Parish of Gundowring, County of Bogong",(E 147°06ʹ/S 36°26ʹ ).,"[Melbourne] :Division of Survey and Mapping,c.1976.",1 map ;on sheet 70 x 50 cm.,,
9920208013607636,E1434200,E1434200,S0364800,S0364800,Victoria.Department of Crown Lands and Survey.,"Painswick, County of Gladstone",(E 143°4̊2ʹ/S 36°4̊8ʹ).,"Melbourne :J. J. Gourley, Govt. Printer,1949.",1 map on 4 sheets;sheets 69 x 97 cm.,,
9920208263607636,E1461800,E1461800,S0383000,S0383000,Victoria.Department of Crown Lands and Survey.,"Gunyah Gunyah, County of Buln Buln",(E 146°18ʹ/S 38°30ʹ).,"Melbourne :Dept. of Lands and Survey,1966.",1 map ;on sheet 99 x 69 cm.,,
9920208443607636,E1461800,E1461800,S0383000,S0383000,Victoria.Department of Crown Lands and Survey.,"Gunyah Gunyah, County of Buln Buln",(E 146°18ʹ/S 38°30ʹ).,"Melbourne :A. J. Mullet, Govt. Printer,1915.",1 map ;on sheet 31 x 52 cm.,,
9920208563607636,E1461800,E1461800,S0383000,S0383000,Victoria.Department of Crown Lands and Survey.,"Gunyah Gunyah, County of Buln Buln",(E 146°18ʹ/S 38°30ʹ).,"[Melbourne :Dept. of Lands and Survey,191-?].",1 map ;on sheet 47 x 26 cm.,,
9920208613607636,E1461800,E1461800,S0383000,S0383000,Victoria.Department of Crown Lands and Survey.,"Gunyah Gunyah, County of Buln Buln",(E 146°18ʹ/S 38°30ʹ).,"[Melbourne :Dept. of Lands and Survey,191-?].",1 map ;on sheet 47 x 26 cm.,,
9920208743607636,,,,,Victoria.Department of Crown Lands and Survey.,"Agricultural allotments, parishes of Gunyah Gunyah & Wonyip, County of Buln Buln",,"Melbourne :Dept. of Lands and Survey,1903.",1 map ;on sheet 31 x 52 cm.,,
9920209153607636,E1442900,E1442900,S0361400,S0361400,Victoria.Department of Crown Lands and Survey.,"Pannoobamawm, County of Bendigo",(E 144°2̊9'/S 36°1̊4'),"Melbourne :W. M. Houston, Govt. Printer,1957.",1 map ;on sheet 96 x 69 cm.,,
9920210253607636,E1475300,E1475300,S0365200,S0365200,Victoria.Department of Crown Lands and Survey.,"Guttamurra, County of Benambra",(E 147°5̊3'/S 36°5̊2'),"Melbourne :Dept. of Lands and Survey,1913.",1 map on 2 sheets ; sheets 101 x 68 cm.,,
9920218363607636,E1413900,E1413900,S0364400,S0364400,Victoria.Department of Crown Lands and Survey.,"Gymbowen, County of Lowan",(E 141°39'/S 36°44').,"Melbourne :Dept. of Lands and Survey,1895.",1 map on 2 sheets ;79 x 65 cm & 79 x 50 cm.,,
9920219433607636,E1434000,E1434000,S0373400,S0373400,Victoria.Division of Survey and Mapping.,"Parish of Haddon, County of Grenville",(E 143°40ʹ/S 37°34ʹ ).,"[Melbourne] :Division of Survey and Mapping,c.1979.",1 map ;on sheet 50 x 70 cm.,,
9920219533607636,,,,,Victoria.Department of Crown Lands and Survey,"Part of the Parishes of Haddon, Carngham, Cardigan, Smythesdale and Yarrowee",,"[Melbourne :Dept. of Crown Lands and Survey],1873.",1 map ;on sheet 50 x 69 cm.,,
9920221933607636,E1421800,E1421800,S0373300,S0373300,Victoria.Department of Crown Lands and Survey.,"Panyyabyr, County of Dundas",(E 142°18ʹ/S 37°33ʹ).,"Melbourne :Dept. of Lands and Survey,1932.",1 map ;on sheet 102 x 77 cm.,,
9920221953607636,E1441000,E1441000,S0381700,S0381700,Victoria.Department of Crown Lands and Survey.,"Parish of Paraparap, County of Grant",(E 144°12'/S 38°17').,"[Melbourne] :Dept. of Lands and Survey,c.1981.",1 map ;on sheet 51 x 71cm.,,
9920222113607636,E1441200,E1441200,S0381700,S0381700,Victoria.Department of Crown Lands and Survey,"Paraparap, County of Grant",(E 144°12'/S 38°17').,"Melbourne :Dept. of Lands and Survey,1878.",1 map ;on sheet 102 x 69 cm.,,
9920222613607636,,,,,Victoria.Department of Crown Lands and Survey,[Map of part of Parish of Parrie Yalloak],,"Melbourne:Dept. of Lands and Survey,[1880?].",1 map ;on sheet 79 x 60 cm.,,
9920222633607636,E1423100,E1423100,S0373000,S0373000,Victoria.Department of Crown Lands and Survey.,"Parrie Yalloak, County of Ripon",(E 142°31'/S 37°30').,"Melbourne :A. C. Brooks, Govt. Printer,1967.",1 map ;on sheet 76 x 86 cm.,,
9920272773607636,E1442900,E1442900,S0361900,S0361900,Victoria.Department of Crown Lands and Survey.,"Pannoomilloo, County of Bendigo",(E 144°2̊9'/S 36°1̊9'),"Melbourne :W. M. Houston, Govt. Printer,1957.",1 map ;49 x 35 cm.,,
9920273223607636,E1473200,E1473200,S0375700,S0375700,Victoria.Division of Survey and Mapping.,"Parish of Hamilton North, County of Dundas",(E 147°32ʹ/S 37°57ʹ).,"[Melbourne] :Division of Survey and Mapping,c.1982.",1 map ;on sheet 70 x 50  cm.,,
9920273773607636,E1425399,E1425300,S0374100,S0374100,Victoria.Department of Crown Lands and Survey.,"Parupa, County of Ripon",(E 142°53'/S 37°41').,"Melbourne :Dept. of Lands and Survey,1879.",1 map on 1 sheets ;sheets 68 x 104 cm.,,
9920273823607636,E1415900,E1415900,S0374300,S0374300,Victoria.Department of Crown Lands and Survey.,"North Hamilton, County of Dundas",(E 141°5̊9ʹ/S 37°4̊3ʹ).,"Melbourne :Dept. of Lands and Survey,1896.",1 map  ;on sheet 69 x 102 cm.,,
9920273903607636,E1442600,E1442600,S374300,S0374300,Victoria.Department of Crown Lands and Survey,"Parish of Parwan, Country lands, County of Grant",(E 144°26'/S 37°43).,"[Melbourne? :Dept. of Lands and Survey?,1864?].",1 map ;on sheet 59 x 47 cm.,,
9920274023607636,,,,,Victoria.Department of Crown Lands and Survey.,"Country lots in the Parish of North Hamilton, County of Dundas",,"Melbourne :Dept. of Lands and Survey,1896.",1 map  ;on sheet 32 x 45 cm.,,
9920274053607636,,,,,Victoria.Department of Crown Lands and Survey.,"Suburban lands, Parish of North Hamilton, County of Dundas",,"Melbourne :Dept. of Lands and Survey,1864.",1 map  ;on sheet 32 x 45 cm.,,
9920274213607636,E1420300,E1420300,S0374500,S0374500,Victoria.Department of Crown Lands and Survey.,"South Hamilton, County of Normanby",(E 142°03'/S 37°45').,"Melbourne :Dept. of Lands and Survey,1932.",1 map on 2 sheets ;76 x 102 & 76 x 62 cm.,,
9920274473607636,,,,,Victoria.Department of Crown Lands and Survey.,"Suburban lands, Parish of South Hamilton, County of Dundas",,"Melbourne :Dept. of Lands and Survey,1865.",1 map  ;on sheet 22 x 31 cm.,,
9920274623607636,E1415800,E1415800,S0371700,S0371700,Victoria.Department of Crown Lands and Survey.,"Pendyk Pendyk, County of Dundas",(E 141°58'/S 37°17').,"Melbourne :Dept. of Lands and Survey,1880.",1 map ;on sheet 102 x 69 cm.,,
9920275083607636,E1455900,E1455900,S0360900,S0360900,Victoria.Department of Crown Lands and Survey.,"Pelluebla, County of Moira",(E 145°59'/S 36°09').,"Melbourne :Dept. of Lands and Survey,1881.",1 map ;on sheet 104 x 69 cm.,,
9920275143607636,E 1421100,E1421100,S0352400,S0352400,Victoria.Department of Crown Lands and Survey.,"Township of Patchewollock, Parish of Patchewollock, County of Karkarooc",(E 142°11'/S 35°24').,"Melbourne :A. J. Mullet, Govt. Printer,1923.",1 map ;on sheet  68 x 59 cm.,,
9920275163607636,,,,,Victoria.Public Lands Office.,"Country lands in the parishes of South Hamilton and Yulecart, County of Normanby",,"Melbourne :Public Lands Office,1859.",1 map ;on sheet 28 x 39 cm.,,
9920275393607636,E1411900,E1411900,S0360900,S0360900,Victoria.Department of Crown Lands and Survey.,"Peechember, County of Lowan",(E 141°19'/S 36°09').,"Melbourne :Dept. of Lands and Survey,1897.",1 map ;on sheet 70 x 104  cm.,,
9920275683607636,,,,,Victoria.Department of Crown Lands and Survey,"Township of Haines, parishes of Cooramadda and Barnawartha Nth, County of Bogong",,"Melbourne :Dept. of Lands and Survey,1942.",1 map ;on sheet 56 x 46 cm.,,
9920275723607636,,,,,Victoria.Department of Crown Lands and Survey,"Township of Haines, in the parishes of North Barnawartha and Cooramadda",,"Melbourne :Crown Lands Office,1859.",1 map ;on sheet 35 x 26 cm.,,
9920276083607636,,,,,Victoria.Office of Lands and Survey,"Special allotments near Happy Valley, County of Grenville",,"Melbourne :Office of Lands and Survey,1866.",1 map ;on sheet 27 x 39 cm.,,
9920276463607636,E1441700,E1441700,S0365900,S0365900,Victoria.Department of Crown Lands and Survey.,"Harcourt, County of Talbot",(E 144°17'/S 36°59').,"Melbourne :Dept. of Lands and Survey,1910.",1 map ;on sheet 61 x 57 cm.,,
9920276493607636,E1441700,E1441700,S0365900,S0365900,Victoria.Division of Survey and Mapping.,"Parish of Harcourt, County of Talbot",(E 144°17ʹ/S 36°59ʹ ).,"[Melbourne] :Division of Survey and Mapping,c.1980.",1 map ;on sheet 50 x 70 cm.,,
9920276963607636,,,,,Victoria.Department of Crown Lands and Survey.,[Map of part of the Parish of Harcourt],,"[Melbourne :Dept. of Lands and Survey],[191-?].",1 map ;on sheet 69 x 50 cm.,,
9920277023607636,,,,,Victoria.Public Lands Office.,Subdivision of land in the Parish of Harcourt,,"Melbourne :Public Lands Office,1858.",1 map ;on sheet 31 x 46 cm.,,
9920277353607636,,,,,Victoria.Public Lands Office.,Subdivisions of land in the Parish of Harcourt,,"Melbourne :Public Lands Office,1857.",1 map ;on sheet 22 x 31 cm.,,
9920277373607636,,,,,Victoria.Public Lands Office.,"Country lands in the Parishes of Harcourt and Faraday, County of Talbot",,"Melbourne :Public Lands Office,1858.",1 map ;on sheet 32 x 22 cm.,,
9920277493607636,,,,,Victoria.Office of Lands and Survey.,"Special allotments, Parish of Harcourt, County of Talbot",,"Melbourne :Office of Lands and Survey,1865.",1 map ;on sheet 24 x 35  cm.,,
9920277573607636,,,,,Victoria.Surveyor General's Office,Lands & village reserve in the Parish of Harcourt in the County of Talbot,,"Melbourne :Surveyor General's Office,1853.",1 map ;on sheet 24 x 35 cm.,,
9920277973607636,E1443900,E 1443900,S0381200,S0381200,Victoria.Division of Survey and Mapping.,"Paywit, County of Grant",(E 144°39'/S 38°12').,"[Melbourne] :Division of Survey and Mapping,c.1977.",1 map on 2 sheets ;sheets 51 x 71cm.,,
9920278133607636,E1470400,E01470400,S0365500,S0365500,Victoria.Department of Crown Lands and Survey.,"Harrietville, Counties of Delatite and Bogong",(E 147°04ʹ/S 36°55ʹ).,"Melbourne :Dept. of Crown Lands and Survey,1941.",1 map ;on sheet 69 x 49 cm.,,
9920278233607636,E1470400,E01470400,S0365500,S0365500,Victoria.Department of Crown Lands and Survey.,"Harrietville, Counties of Delatite and Bogong",(E 147°04ʹ/S 36°55ʹ).,"Melbourne :Dept. of Lands and Survey,1896.",1 map ;on sheet 63 x 31 cm.,,
9920278453607636,E1443900,E 1443900,S0381200,S0381200,Victoria.Department of Crown Lands and Survey,"Paywit, County of Grant",(E 144°39'/S 38°12').,"Melbourne :Dept. of Lands and Survey,1888.",1 map ;on sheet 69 x 47 cm.,,
9920278503607636,E1443900,E 1443900,S0381200,S0381200,Victoria.Department of Crown Lands and Survey,Parish of Paywit,(E 144°39'/S 38°12').,"[Melbourne? :Dept. of Lands and Survey?],1875.","1 map ;col.,on sheet 35 x 52 cm.",,
9920278533607636,E1443900,E 1443900,S0381200,S0381200,,Parish of Paywit,(E 144°39'/S 38°12').,"[Melbourne? :Dept. of Lands and Survey?],1875.","1 map ;col.,on sheet  33 x 46 cm.",,
9920279963607636,E1431600,E1431600,S0345000,S0345000,Victoria.Department of Crown Lands and Survey.,"Piambie, County of Tatchera",(E 143°16'/S 34°50').,"Melbourne :J. J. Gourley, Govt. Printer,1945.",1 map ;43 x 58 cm.,,
9920280323607636,E1424200,E1424200,S0351400,S0351400,Victoria.Department of Crown Lands and Survey.,"Pier-Millan, County of Karkarooc",(E 142°42'/S 35°14').,"Melbourne :Dept. of Lands and Survey,1930.",1 map ;on sheet 94 x 69 cm.,,
9920281133607636,E1450500,E1450500,S0355600,S0355600,Victoria.Department of Crown Lands and Survey.,"Picola, County of Moira",(E 145°05'/S 35°56').,"Melbourne :Dept. of Lands and Survey,1964.",1 map ;100 x 69 cm.,,
9920281713607636,E1453400,E1453400,S0362100,S0362100,Victoria.Department of Crown Lands and Survey.,"Pine Lodge, County of Moira",(E 145°34'/S 36°21').,"Melbourne :Dept. of Lands and Survey,1967.",1 map ;on sheet 104 x 77 cm.,,
9920281743607636,E1434200,E1434200,S0352400,S0352400,Victoria.Department of Crown Lands and Survey.,"Pental Island, County of Tatchera",(E 143°42'/S 35°24').,"Melbourne :C. H. Rixon, Govt. Printer,1970.",1 map on 2 sheets ;sheets 77 x 102 cm.,,
9920283113607636,E1424200,E1424200,S0351400,S0351400,Victoria.Department of Crown Lands and Survey.,"Pirro, County of Karkarooc",(E 142°42'/S 35°14').,"Melbourne :Albert J. Mullet, Govt. Printer,1917.",1 map on 2 sheets ;sheets 104 x 70 cm.,,
9920283263607636,,,,,Victoria.Department of Crown Lands and Survey.,"[Map of part of Parish of Pirron Yaloak,]",,"[Melbourne :Dept. of Lands and Survey,19--?].",1 map ;on sheet cm.,,
9920283613607636,E1432600,E1432600,S0382200,S0382200,Victoria.Division of Survey and Mapping.,Parish of Pirron Yaloak,(E 143°26'/S 38°22').,"[Melbourne] :Division of Survey and Mapping,c.1979.",1 map ;on sheet 51 x 71 cm.,,
9920283723607636,E1433100,E1433100,S0375800,S0375800,Victoria.Division of Survey and Mapping.,"Poliah North, County of Grenville",(E 143°31'/S 37°58').,"Melbourne :Division of Survey and Mapping,1983.",1 map ;on sheet 51 x 71 cm.,,
9920284103607636,E1430900,E1430900,S0351700,S0351700,Victoria.Department of Crown Lands and Survey.,"Polisbet, County of Tatchera",(E 143°09'/S 35°17').,"Melbourne :H. J. Green, Govt. Printer,1924.",1 map ;24 x 48 cm.,,
9920286893607636,E1413400,E1413400,S0370700,S0370700,Victoria.Department of Crown Lands and Survey.,"Harrow, County of Lowan",(E 141°34'/S 37°07').,"[Melbourne] :Dept. of Crown Lands and Survey,1959.",1 map ;on sheet 96 x 69 cm.,,
9920287053607636,E1413400,E1413400,S0370700,S0370700,Victoria.Department of Crown Lands and Survey.,"Harrow, County of Lowan",(E 141°34'/S 37°07').,"Melbourne :Dept. of Crown Lands and Survey,1884.",1 map ;on sheet 64 x 84 cm.,,
9920287333607636,,,,,Victoria.Office of Lands and Survey.,"Town and special lands, Parish of Harrow",,"Melbourne :Office of Lands and Survey,1863.",1 map ;on sheet 47 x 28 cm.,,
9920287443607636,E1440500,E1440500,S0362100,S0362100,Victoria.Department of Crown Lands and Survey.,"Pompapiel, County of Bendigo",(E 144°0̊5'/S 36°2̊1'),"[Melbourne :Dept. of Lands and Survey,1879].",1 map ;on sheet 59 x 69 cm.,,
9920287563607636,E1422700,E1422700,S0374900,S0374900,Victoria.Department of Crown Lands and Survey.,"Pom Pom, County of Villiers",(E 142°27ʹ/S 37°49ʹ).,"Melbourne :W. M. Houston, Govt. Printer,1957.",1 map ;on sheet 64 x 84 cm.,,
9920287603607636,,,,,Victoria.Department of Crown Lands and Survey,"Township of Hattah, Parish of Mournpoul, County of Karakrooc",,"Melbourne :H. J. Green, Govt. Printer,1929.",1 map ;on sheet 55 x 44 cm.,,
9920287633607636,E1422700,E1422700,S0374900,S0374900,Victoria.Department of Crown Lands and Survey.,"Pom Pom, County of Villiers",(E 142°27ʹ/S 37°49ʹ).,"Melbourne :Dept, of Lands and Survey1880.",1 map ;on sheet 64 x 84 cm.,,
9920287843607636,E1415600,E1415600,S0363100,S0363100,Victoria.Department of Crown Lands and Survey.,"Pomponderoo, County of Lowan",(E 141°56'/S 36°31').,"Melbourne :Dept. of Lands and Survey,1927.",1 map ;on sheet cm.,,
9920287863607636,,,,,Victoria.Division of Survey and Mapping.,"Pomborneit, County of Heytesbury",(E 143°21'/S 38°19').,"[Melbourne] :Division of Survey and Mapping,c.1979.",1 map ;on sheet cm.,,
9920287913607636,E1444800,E1444800,S0372700,S0372700,Victoria.Department of Crown Lands and Survey.,"Havelock, County of Bourke",(E 144°48ʹ/S 37°27ʹ).,"Melbourne :Dept. of Lands and Survey,1883.",1 map :on sheet 102 x 68 cm.,,
9920288773607636,E1462400,E1462400,S0381700,S0381700,Victoria.Department of Crown Lands and Survey.,"Hazelwood, County of Buln Buln",(E 146°24ʹ/S 38°17ʹ).,"Melbourne :J. J. Gourley, Govt. Printer,1951.",1 map ;on sheet 73 x 96 cm.,,
9920288813607636,E1462400,E1462400,S0381700,S0381700,Victoria.Department of Crown Lands and Survey.,"Hazelwood, County of Buln Buln",(E 146°24ʹ/S 38°17ʹ).,"Melbourne :Dept. of Lands and Survey,1909.",1 map ;on sheet 37 x 46 cm.,,
9920289103607636,,,,,Victoria.Department of Crown Lands and Survey,"Town & suburban lands, Healesville, County of Evelyn",,"Melbourne :Dept. of Lands and Survey,1865.",1 map ;on sheet 38 x 30 cm.,,
9920289583607636,E1444300,E1444300,S0365500,S0365500,Victoria.Department of Crown Lands and Survey.,"Heathcote, County of Dalhousie",(E 144°4̊3ʹ/S 36°5̊5ʹ).,"Melbourne :H. J. Green, Govt. Printer,1935.",1 map on 2 sheets;sheets 101 x 76 cm.,,
